Model,Metric,Method,Average_Rank,N_Datasets,N_Methods,Critical_Difference_0.05
LightGBM,AUC_PR,SVMSMOTE,4.5,14,13,4.8764
LightGBM,AUC_PR,None,4.9286,14,13,4.8764
LightGBM,AUC_PR,KMeansSMOTE,6.2857,14,13,4.8764
LightGBM,AUC_PR,SMOTE,7.2143,14,13,4.8764
LightGBM,AUC_PR,BorderlineSMOTE,7.6429,14,13,4.8764
LightGBM,AUC_PR,ADASYN,7.9286,14,13,4.8764
LightGBM,AUC_PR,BSSMOTE w/o ADASYN Linear,7.9286,14,13,4.8764
LightGBM,AUC_PR,BSSMOTE w/o ADASYN RBF,8.3929,14,13,4.8764
LightGBM,AUC_PR,BSSMOTE w/o SVM,9.0714,14,13,4.8764
LightGBM,AUC_PR,Full BSSMOTE RBF,9.0714,14,13,4.8764
LightGBM,AUC_PR,Full BSSMOTE Linear,10.0357,14,13,4.8764
LightGBM,GMean,ADASYN,4.5714,14,13,4.8764
LightGBM,GMean,SVMSMOTE,4.7857,14,13,4.8764
LightGBM,GMean,BSSMOTE w/o SVM,4.7857,14,13,4.8764
LightGBM,GMean,SMOTE,6.2143,14,13,4.8764
LightGBM,GMean,BorderlineSMOTE,6.25,14,13,4.8764
LightGBM,GMean,BSSMOTE w/o ADASYN Linear,6.2857,14,13,4.8764
LightGBM,GMean,BSSMOTE w/o ADASYN RBF,6.3214,14,13,4.8764
LightGBM,GMean,Full BSSMOTE RBF,6.4643,14,13,4.8764
LightGBM,GMean,Full BSSMOTE Linear,7.5,14,13,4.8764
LightGBM,GMean,KMeansSMOTE,7.9643,14,13,4.8764
LightGBM,GMean,BSSMOTE w/o Clustering RBF,9.2143,14,13,4.8764
LightGBM,GMean,None,10.3214,14,13,4.8764
LightGBM,GMean,BSSMOTE w/o Clustering Linear,10.3214,14,13,4.8764
