Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Sampler_Status,Sampler_Detail,Majority_Before,Minority_Before,Majority_After,Minority_After,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,KMeansSMOTE,Baseline,--,success,"{""k_neighbors"": 5, ""cluster_balance_threshold"": ""auto"", ""kmeans_estimator"": ""default""}",180,65,180,180,115,115,0,115,0.0174,0.1512,0.1512
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,SVMSMOTE,Baseline,--,success,fit_resample,180,65,180,180,115,115,0,115,0.013,0.1129,0.1129
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,Full BSSMOTE Linear,Full BSSMOTE,Linear,success,fit_resample,180,65,144,73,8,8,36,-28,0.1069,13.3594,13.3594
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,Full BSSMOTE RBF,Full BSSMOTE,RBF,success,fit_resample,180,65,144,69,4,4,36,-32,0.0755,18.8668,18.8668
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,success,fit_resample,180,65,180,68,3,3,0,3,0.0132,4.3881,4.3881
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,success,fit_resample,180,65,180,77,12,12,0,12,0.0157,1.3076,1.3076
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,success,fit_resample,180,65,144,72,7,7,36,-29,0.1393,19.9034,19.9034
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,success,fit_resample,180,65,144,70,5,5,36,-31,0.1452,29.0369,29.0369
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,5,BSSMOTE w/o SVM,w/o SVM,--,success,fit_resample,180,65,144,143,78,78,36,42,0.0526,0.6746,0.6746
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.2022,Low,Features <= 10,1,1,None,None,--,not_applied,baseline_no_resampling,456,142,456,142,0,0,0,0,0.0008,,
