Feature_Interval,Feature_Interval_Order,Dataset,Dataset_File,OpenML_ID,Oversampler,Stage,MajorityCount,MinorityCount,Generated_Samples
10 < Features <= 30,2,Vehicle,vehicle,994,Full BSSMOTE Linear,After OS,524.5011,231.2404,13.2404
10 < Features <= 30,2,Vehicle,vehicle,994,Full BSSMOTE Linear,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,Full BSSMOTE RBF,After OS,524.5011,250.244,32.244
10 < Features <= 30,2,Vehicle,vehicle,994,Full BSSMOTE RBF,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,KMeansSMOTE,After OS,628.9993,628.0061,410.0061
10 < Features <= 30,2,Vehicle,vehicle,994,KMeansSMOTE,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,None,After OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,None,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,SMOTE,After OS,628.0,628.0061,410.0061
10 < Features <= 30,2,Vehicle,vehicle,994,SMOTE,Before OS,628.0,218.0,0.0
10 < Features <= 30,2,Vehicle,vehicle,994,SVMSMOTE,After OS,628.0,628.0061,410.0061
10 < Features <= 30,2,Vehicle,vehicle,994,SVMSMOTE,Before OS,628.0,218.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,ADASYN,After OS,575.5,564.2703,386.2703
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,ADASYN,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o ADASYN Linear,After OS,419.75,196.7502,18.7502
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o ADASYN Linear,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o ADASYN RBF,After OS,419.75,196.7485,18.7485
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o ADASYN RBF,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o Clustering Linear,After OS,570.0,201.0087,23.0087
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o Clustering Linear,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o Clustering RBF,After OS,570.0,188.7505,10.7505
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o Clustering RBF,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o SVM,After OS,434.75,418.0256,240.0256
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BSSMOTE w/o SVM,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BorderlineSMOTE,After OS,570.0,570.0067,392.0067
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,BorderlineSMOTE,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,Full BSSMOTE Linear,After OS,419.75,204.0014,26.0014
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,Full BSSMOTE Linear,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,Full BSSMOTE RBF,After OS,419.75,202.7478,24.7478
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,Full BSSMOTE RBF,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,KMeansSMOTE,After OS,574.0,570.0067,392.0067
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,KMeansSMOTE,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,None,After OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,None,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,SMOTE,After OS,570.0,570.0067,392.0067
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,SMOTE,Before OS,570.0,178.0,0.0
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,SVMSMOTE,After OS,570.0,570.0067,392.0067
Features <= 10,1,Blood-transfusion,blood-transfusion-service-center,1464,SVMSMOTE,Before OS,570.0,178.0,0.0
Features <= 10,1,Haberman,haberman,43,ADASYN,After OS,230.0,214.2333,133.2333
Features <= 10,1,Haberman,haberman,43,ADASYN,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o ADASYN Linear,After OS,175.0,88.255,7.255
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o ADASYN Linear,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o ADASYN RBF,After OS,175.0,89.7503,8.7503
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o ADASYN RBF,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o Clustering Linear,After OS,225.0,84.9916,3.9916
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o Clustering Linear,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o Clustering RBF,After OS,225.0,90.977,9.977
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o Clustering RBF,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o SVM,After OS,178.0,172.7831,91.7831
Features <= 10,1,Haberman,haberman,43,BSSMOTE w/o SVM,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,BorderlineSMOTE,After OS,225.0,225.0087,144.0087
Features <= 10,1,Haberman,haberman,43,BorderlineSMOTE,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,Full BSSMOTE Linear,After OS,175.0,91.0043,10.0043
Features <= 10,1,Haberman,haberman,43,Full BSSMOTE Linear,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,Full BSSMOTE RBF,After OS,175.0,90.2644,9.2644
Features <= 10,1,Haberman,haberman,43,Full BSSMOTE RBF,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,KMeansSMOTE,After OS,225.0,225.0087,144.0087
Features <= 10,1,Haberman,haberman,43,KMeansSMOTE,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,None,After OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,None,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,SMOTE,After OS,225.0,225.0087,144.0087
Features <= 10,1,Haberman,haberman,43,SMOTE,Before OS,225.0,81.0,0.0
Features <= 10,1,Haberman,haberman,43,SVMSMOTE,After OS,225.0,225.0087,144.0087
Features <= 10,1,Haberman,haberman,43,SVMSMOTE,Before OS,225.0,81.0,0.0
Features <= 10,1,Mammography,mammography,310,ADASYN,After OS,10944.2503,10923.0,10663.0
Features <= 10,1,Mammography,mammography,310,ADASYN,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o ADASYN Linear,After OS,7506.5022,268.25,8.25
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o ADASYN Linear,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o ADASYN RBF,After OS,7506.5022,279.25,19.25
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o ADASYN RBF,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o Clustering Linear,After OS,10923.0,490.25,230.25
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o Clustering Linear,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o Clustering RBF,After OS,10923.0,971.5,711.5
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o Clustering RBF,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o SVM,After OS,7508.5022,7502.5,7242.5
Features <= 10,1,Mammography,mammography,310,BSSMOTE w/o SVM,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,BorderlineSMOTE,After OS,10923.0,10923.0,10663.0
Features <= 10,1,Mammography,mammography,310,BorderlineSMOTE,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,Full BSSMOTE Linear,After OS,7506.5022,985.0,725.0
Features <= 10,1,Mammography,mammography,310,Full BSSMOTE Linear,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,Full BSSMOTE RBF,After OS,7506.5022,1068.0,808.0
Features <= 10,1,Mammography,mammography,310,Full BSSMOTE RBF,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,KMeansSMOTE,After OS,10926.0001,10923.0,10663.0
Features <= 10,1,Mammography,mammography,310,KMeansSMOTE,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,None,After OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,None,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,SMOTE,After OS,10923.0,10923.0,10663.0
Features <= 10,1,Mammography,mammography,310,SMOTE,Before OS,10923.0,260.0,0.0
Features <= 10,1,Mammography,mammography,310,SVMSMOTE,After OS,10923.0,10923.0,10663.0
Features <= 10,1,Mammography,mammography,310,SVMSMOTE,Before OS,10923.0,260.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,ADASYN,After OS,16293.5001,16240.0129,14601.0129
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,ADASYN,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o ADASYN Linear,After OS,12987.5002,1868.0004,229.0004
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o ADASYN Linear,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o ADASYN RBF,After OS,12987.5002,1672.2495,33.2495
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o ADASYN RBF,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o Clustering Linear,After OS,16259.0,2194.0001,555.0001
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o Clustering Linear,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o Clustering RBF,After OS,16259.0,2958.205,1319.205
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o Clustering RBF,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o SVM,After OS,12994.7498,12965.7515,11326.7515
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BSSMOTE w/o SVM,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BorderlineSMOTE,After OS,16259.0,16259.0016,14620.0016
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,BorderlineSMOTE,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,Full BSSMOTE Linear,After OS,12987.5002,2772.7503,1133.7503
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,Full BSSMOTE Linear,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,Full BSSMOTE RBF,After OS,12987.5002,2484.2141,845.2141
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,Full BSSMOTE RBF,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,KMeansSMOTE,After OS,16260.25,16259.0016,14620.0016
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,KMeansSMOTE,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,None,After OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,None,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,SMOTE,After OS,16259.0,16259.0016,14620.0016
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,SMOTE,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,SVMSMOTE,After OS,16259.0,16259.0016,14620.0016
Features <= 10,1,Pulsar (HTRU2),Pulsar-Dataset-HTRU2,45558,SVMSMOTE,Before OS,16259.0,1639.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,ADASYN,After OS,303.2504,297.51,155.51
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,ADASYN,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o ADASYN Linear,After OS,232.7598,148.755,6.755
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o ADASYN Linear,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o ADASYN RBF,After OS,232.7598,165.2434,23.2434
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o ADASYN RBF,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o Clustering Linear,After OS,298.0,150.2563,8.2563
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o Clustering Linear,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o Clustering RBF,After OS,298.0,185.7596,43.7596
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o Clustering RBF,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o SVM,After OS,235.5092,230.992,88.992
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BSSMOTE w/o SVM,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BorderlineSMOTE,After OS,298.0,298.0082,156.0082
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,BorderlineSMOTE,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,Full BSSMOTE Linear,After OS,232.7598,151.7511,9.7511
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,Full BSSMOTE Linear,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,Full BSSMOTE RBF,After OS,232.7598,168.762,26.762
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,Full BSSMOTE RBF,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,KMeansSMOTE,After OS,299.4983,298.0082,156.0082
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,KMeansSMOTE,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,None,After OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,None,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,SMOTE,After OS,298.0,298.0082,156.0082
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,SMOTE,Before OS,298.0,142.0,0.0
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,SVMSMOTE,After OS,298.0,298.0082,156.0082
Features <= 10,1,Wholesale-customers,wholesale-customers,1511,SVMSMOTE,Before OS,298.0,142.0,0.0
Features <= 10,1,Wilt,wilt,40983,ADASYN,After OS,4590.4998,4578.0176,4317.0176
Features <= 10,1,Wilt,wilt,40983,ADASYN,Before OS,4578.0,261.0,0.0
Features <= 10,1,Wilt,wilt,40983,BSSMOTE w/o ADASYN Linear,After OS,3682.7496,287.2501,26.2501
Features <= 10,1,Wilt,wilt,40983,BSSMOTE w/o ADASYN Linear,Before OS,4578.0,261.0,0.0
Features <= 10,1,Wilt,wilt,40983,BSSMOTE w/o ADASYN RBF,After OS,3682.7496,274.7501,13.7501
