Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,ADASYN,Baseline,--,LightGBM,0.2857,0.25,0.3654,0.441,102,102,0,102,0.008,0.0783,0.0783,0.0263,0.0041,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BorderlineSMOTE,Baseline,--,DT,0.2778,0.3125,0.2671,0.4714,115,115,0,115,0.0181,0.1575,0.1575,0.004,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BorderlineSMOTE,Baseline,--,RF,0.25,0.1875,0.4068,0.3873,115,115,0,115,0.0181,0.1575,0.1575,0.3005,0.0293,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BorderlineSMOTE,Baseline,--,LightGBM,0.2778,0.3125,0.3151,0.4714,115,115,0,115,0.0181,0.1575,0.1575,0.0282,0.0044,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,KMeansSMOTE,Baseline,--,DT,0.2941,0.3125,0.2722,0.4787,115,115,0,115,0.3589,3.121,3.121,0.0078,0.0019,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,KMeansSMOTE,Baseline,--,RF,0.25,0.1875,0.3999,0.3873,115,115,0,115,0.3589,3.121,3.121,0.3547,0.0297,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,KMeansSMOTE,Baseline,--,LightGBM,0.4,0.25,0.4187,0.4655,115,115,0,115,0.3589,3.121,3.121,0.0571,0.004,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,SVMSMOTE,Baseline,--,DT,0.4444,0.5,0.3534,0.6236,115,115,0,115,0.0152,0.1321,0.1321,0.0073,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,SVMSMOTE,Baseline,--,RF,0.25,0.1875,0.4277,0.3873,115,115,0,115,0.0152,0.1321,0.1321,0.3705,0.0275,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,SVMSMOTE,Baseline,--,LightGBM,0.2,0.1875,0.3434,0.3708,115,115,0,115,0.0152,0.1321,0.1321,0.0291,0.005,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.3333,0.5,0.2978,0.5676,9,9,34,-25,0.1842,20.4714,20.4714,0.0024,0.0004,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.4,0.5,0.4652,0.6055,9,9,34,-25,0.1842,20.4714,20.4714,0.2784,0.0274,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.35,0.4375,0.4286,0.5578,9,9,34,-25,0.1842,20.4714,20.4714,0.0199,0.0038,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.3043,0.4375,0.2807,0.531,8,8,34,-26,0.1823,22.792,22.792,0.0027,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.381,0.5,0.4692,0.5963,8,8,34,-26,0.1823,22.792,22.792,0.2912,0.0317,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.3529,0.375,0.4108,0.5323,8,8,34,-26,0.1823,22.792,22.792,0.0428,0.004,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.2632,0.3125,0.2626,0.464,1,1,0,1,0.0113,11.2774,11.2774,0.0025,0.0007,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.3077,0.25,0.3662,0.4472,1,1,0,1,0.0113,11.2774,11.2774,0.2638,0.061,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.3,0.1875,0.3463,0.3979,1,1,0,1,0.0113,11.2774,11.2774,0.0432,0.0087,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.3158,0.375,0.2824,0.5164,6,6,0,6,0.0309,5.1425,5.1425,0.0111,0.0008,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,0.3333,0.1875,0.3627,0.4031,6,6,0,6,0.0309,5.1425,5.1425,0.4166,0.04,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.2727,0.1875,0.3625,0.3926,6,6,0,6,0.0309,5.1425,5.1425,0.0207,0.0039,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.3,0.375,0.2809,0.5083,1,1,34,-33,0.0888,88.8338,88.8338,0.0023,0.0004,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.381,0.5,0.4264,0.5963,1,1,34,-33,0.0888,88.8338,88.8338,0.3894,0.0287,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.3333,0.375,0.4549,0.5244,1,1,34,-33,0.0888,88.8338,88.8338,0.0182,0.0098,success,success,42
Haberman,haberman,43,306,3,2.7778,Low,Features <= 10,1,225,81,2,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.3478,0.5,0.3051,0.5774,6,6,34,-28,0.1784,29.7326,29.7326,0.0047,0.0027,success,success,42
