Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,SVM_Kernel,Noise_Scale,SVM_Margin,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms,Status,Message
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.05,0.75,0.2641509433962264,0.4,0.2528072723722538,0.5129891760425771,23,23,137,-114,0.05451774597167969,2.3703367813773775,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.05,1.0,0.33962264150943394,0.5,0.31314864290362543,0.588635055080969,29,29,117,-88,0.054804086685180664,1.8897960925924369,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.05,1.0,0.4166666666666667,0.4166666666666667,0.3609054234393696,0.5830199659546441,18,18,122,-104,0.055345773696899414,3.074765205383301,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,rbf,0.05,1.0,0.3333333333333333,0.3055555555555556,0.2786075823309866,0.4965769768697649,29,29,107,-78,0.05328083038330078,1.8372700132172681,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,rbf,0.05,1.0,0.34615384615384615,0.5142857142857142,0.2976162525272572,0.6007514091861106,20,20,118,-98,0.05302739143371582,2.651369571685791,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.05,1.0,0.23076923076923078,0.34285714285714286,0.23373708021678347,0.47175882713251227,29,29,137,-108,0.04684042930603027,1.6151872174493198,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.05,1.25,0.3333333333333333,0.4722222222222222,0.3096969365155235,0.5756596351964778,38,38,117,-79,0.057372093200683594,1.5097919263337787,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.05,1.25,0.4166666666666667,0.4166666666666667,0.3609054234393696,0.5830199659546441,18,18,122,-104,0.04896950721740723,2.720528178744846,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,rbf,0.05,1.25,0.3055555555555556,0.3055555555555556,0.2682719382680668,0.48841351157047286,34,34,107,-73,0.04635214805603027,1.3632984722361845,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,4,rbf,0.05,1.25,0.3333333333333333,0.4857142857142857,0.28659913993531405,0.5838254279541227,24,24,118,-94,0.0634000301361084,2.64166792233785,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,5,rbf,0.05,1.25,0.23076923076923078,0.34285714285714286,0.23373708021678347,0.47175882713251227,31,31,137,-106,0.04564189910888672,1.4723193260931198,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,1,rbf,0.05,1.5,0.3090909090909091,0.4722222222222222,0.29135491820881443,0.5610836076867821,45,45,117,-72,0.05390787124633789,1.1979526943630643,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,2,rbf,0.05,1.5,0.4358974358974359,0.4722222222222222,0.3773435240294834,0.6173261843901675,22,22,122,-100,0.051653385162353516,2.3478811437433413,success,
Blood-transfusion,blood-transfusion-service-center,1464,748,4,3.202247191011236,Low,Features <= 10,1,3,rbf,0.05,1.5,0.3333333333333333,0.3055555555555556,0.2795952420645039,0.4965769768697649,38,38,107,-69,0.04372048377990723,1.1505390468396637,success,
