Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.8087,0.0057,0.8123,0.0188,0.7137,0.0106,0.8629,0.0092,398.6,13.8852,0.9015,0.0868,2.2669,0.2722,0.1069,0.019
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.8846,0.009,0.872,0.0121,0.9588,0.0035,0.9105,0.0063,398.6,13.8852,0.9015,0.0868,2.2669,0.2722,0.2335,0.0528
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,0.8803,0.0044,0.8547,0.0145,0.9509,0.0045,0.9009,0.0072,398.6,13.8852,0.9015,0.0868,2.2669,0.2722,2.071,0.3596
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,DT,0.6981,0.0147,0.895,0.0167,0.6565,0.0152,0.8629,0.0091,1525.8,30.9871,0.523,0.452,0.3466,0.3076,0.1037,0.0168
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.7345,0.0151,0.9398,0.0132,0.9336,0.0068,0.895,0.0036,1525.8,30.9871,0.523,0.452,0.3466,0.3076,0.2135,0.0071
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BSSMOTE w/o SVM,w/o SVM,--,RF,0.7332,0.0144,0.9479,0.0145,0.9338,0.0089,0.8977,0.0039,1525.8,30.9871,0.523,0.452,0.3466,0.3076,2.1112,0.3181
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,DT,0.7755,0.0142,0.8228,0.0084,0.6916,0.0111,0.8589,0.0046,2590.4,0.5477,0.2069,0.0551,0.0799,0.0213,0.1792,0.0337
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,LightGBM,0.8442,0.009,0.9047,0.0055,0.9555,0.0035,0.9161,0.0021,2590.4,0.5477,0.2069,0.0551,0.0799,0.0213,0.2861,0.0696
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,BorderlineSMOTE,Baseline,--,RF,0.8246,0.0097,0.9031,0.0057,0.9407,0.004,0.9099,0.0047,2590.4,0.5477,0.2069,0.0551,0.0799,0.0213,3.2671,0.4542
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.7155,0.0194,0.8958,0.0257,0.6725,0.0206,0.8701,0.0129,153.0,2.9155,0.9285,0.8319,6.0158,5.3382,0.0875,0.0179
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.7615,0.0123,0.9233,0.0122,0.9321,0.0095,0.8985,0.0058,153.0,2.9155,0.9285,0.8319,6.0158,5.3382,0.1987,0.04
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.7619,0.0188,0.9237,0.0101,0.9376,0.006,0.8987,0.0049,153.0,2.9155,0.9285,0.8319,6.0158,5.3382,1.6606,0.2033
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.713,0.0084,0.8987,0.0208,0.6713,0.0036,0.8703,0.0055,201.8,21.8563,0.8188,0.5126,4.077,2.5502,0.089,0.0125
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.7562,0.014,0.9278,0.0157,0.9309,0.008,0.8984,0.0064,201.8,21.8563,0.8188,0.5126,4.077,2.5502,0.2085,0.0452
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.7569,0.0168,0.9342,0.0065,0.94,0.0044,0.9013,0.0041,201.8,21.8563,0.8188,0.5126,4.077,2.5502,1.6756,0.2503
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,DT,0.8122,0.0128,0.8155,0.0211,0.7183,0.0195,0.8653,0.0126,2590.4,0.5477,0.1129,0.0855,0.0436,0.033,0.1651,0.0227
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,LightGBM,0.89,0.0153,0.8631,0.0111,0.9589,0.0048,0.9072,0.0054,2590.4,0.5477,0.1129,0.0855,0.0436,0.033,0.2609,0.0556
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,KMeansSMOTE,Baseline,--,RF,0.8905,0.0141,0.8425,0.0062,0.9511,0.0054,0.897,0.0052,2590.4,0.5477,0.1129,0.0855,0.0436,0.033,2.5008,0.3103
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,None,None,--,DT,0.8035,0.0104,0.8102,0.0232,0.7085,0.0168,0.8605,0.0125,0.0,0.0,0.0011,0.0003,,,0.0946,0.0179
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,None,None,--,LightGBM,0.8982,0.0086,0.8583,0.0123,0.9587,0.0045,0.9067,0.0065,0.0,0.0,0.0011,0.0003,,,0.2016,0.0418
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,None,None,--,RF,0.9045,0.0025,0.8377,0.014,0.9525,0.004,0.8976,0.0071,0.0,0.0,0.0011,0.0003,,,1.8948,0.3182
CPU small,cpu_small,735,8192,12,2.3072,Low,10 < Features <= 30,2,SMOTE,Baseline,--,DT,0.7797,0.011,0.8353,0.0036,0.7011,0.0091,0.8659,0.0033,2590.4,0.5477,0.088,0.0182,0.034,0.007,0.159,0.0319
