Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.6805 ± 0.0154,0.6994 ± 0.0179,0.5687 ± 0.0090,0.7722 ± 0.0068
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.6834 ± 0.0173,0.7055 ± 0.0187,0.5731 ± 0.0126,0.7759 ± 0.0091
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,BSSMOTE w/o SVM,w/o SVM,--,0.6209 ± 0.0103,0.7620 ± 0.0247,0.5468 ± 0.0128,0.7767 ± 0.0117
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.6201 ± 0.0148,0.7577 ± 0.0205,0.5449 ± 0.0160,0.7748 ± 0.0129
Elevators,846,10 < Features <= 30,2.2357,Low,18,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.6103 ± 0.0120,0.7552 ± 0.0172,0.5367 ± 0.0130,0.7695 ± 0.0107
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7617 ± 0.0115,0.7965 ± 0.0149,0.8725 ± 0.0083,0.8412 ± 0.0074
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7633 ± 0.0114,0.7982 ± 0.0160,0.8723 ± 0.0095,0.8424 ± 0.0081
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9034 ± 0.0149,0.7185 ± 0.0238,0.9074 ± 0.0040,0.8328 ± 0.0125
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9014 ± 0.0150,0.7206 ± 0.0207,0.9074 ± 0.0041,0.8337 ± 0.0103
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.7479 ± 0.0067,0.8206 ± 0.0102,0.8792 ± 0.0084,0.8480 ± 0.0044
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7605 ± 0.0118,0.7977 ± 0.0178,0.8723 ± 0.0091,0.8414 ± 0.0099
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7597 ± 0.0115,0.7963 ± 0.0159,0.8724 ± 0.0098,0.8405 ± 0.0069
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7371 ± 0.0165,0.7476 ± 0.0176,0.8305 ± 0.0095,0.8113 ± 0.0095
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7298 ± 0.0169,0.7524 ± 0.0176,0.8343 ± 0.0074,0.8115 ± 0.0106
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8740 ± 0.0137,0.6505 ± 0.0225,0.8632 ± 0.0052,0.7892 ± 0.0120
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8711 ± 0.0156,0.6593 ± 0.0227,0.8639 ± 0.0036,0.7938 ± 0.0113
