Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,SVM_Kernel,Noise_Scale,SVM_Margin,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms,Status,Message
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,linear,0.1,0.75,0.7018121911037891,0.8606060606060606,0.6461083671956818,0.8510726237747188,155,155,1017,-862,1.4594924449920654,9.41608029027139,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,linear,0.1,0.75,0.6930232558139535,0.9030303030303031,0.655125030008751,0.8640601002453923,151,151,1041,-890,1.8605811595916748,12.3217295337197,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,rbf,0.0,0.75,0.7168874172185431,0.8729838709677419,0.6642692245266293,0.861614754260841,191,191,1020,-829,0.5800955295562744,3.037149369404578,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,rbf,0.0,0.75,0.7011128775834659,0.8891129032258065,0.6569255530571005,0.8619002904885353,208,208,1041,-833,0.5726456642150879,2.7531041548802304,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,rbf,0.0,0.75,0.6976377952755906,0.8949494949494949,0.6560966242856007,0.8629117981511348,201,201,1029,-828,0.5849945545196533,2.9104206692520065,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,rbf,0.0,0.75,0.7400662251655629,0.9030303030303031,0.69760625687778,0.8826052458131562,234,234,1017,-783,0.6099367141723633,2.606567154582749,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,rbf,0.0,0.75,0.7288961038961039,0.907070707070707,0.6892433324251506,0.8800804316325957,175,175,1041,-866,0.550945520401001,3.1482601165771484,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,rbf,0.01,0.75,0.7041800643086816,0.8830645161290323,0.6572238591170425,0.8607606511013753,191,191,1020,-829,0.5981292724609375,3.131566871523233,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,rbf,0.01,0.75,0.6970633693972179,0.9092741935483871,0.661277498771576,0.8679591922919515,208,208,1041,-833,0.5492267608642578,2.6405132733858547,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,rbf,0.01,0.75,0.7248764415156508,0.8888888888888888,0.677912148258112,0.8712153775512981,201,201,1029,-828,0.585766077041626,2.9142590897593332,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,rbf,0.01,0.75,0.7429519071310116,0.9050505050505051,0.7011025274706867,0.8844876323723719,234,234,1017,-783,0.6279299259185791,2.6834612218742695,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,rbf,0.01,0.75,0.7091194968553459,0.9111111111111111,0.6729486795524532,0.8738669426518585,175,175,1041,-866,0.5390348434448242,3.0801991053989957,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,rbf,0.05,0.75,0.7248322147651006,0.8709677419354839,0.670353677498081,0.8637126211877327,191,191,1020,-829,0.6101377010345459,3.194438225311759,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,rbf,0.05,0.75,0.7102803738317757,0.9193548387096774,0.6774048235990275,0.8773531441199028,208,208,1041,-833,0.5676414966583252,2.729045657011179,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,rbf,0.05,0.75,0.703875968992248,0.9171717171717172,0.6706056561870516,0.8740186221328817,201,201,1029,-828,0.5896868705749512,2.9337655252485133,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,rbf,0.05,0.75,0.7180327868852459,0.8848484848484849,0.6701487583454796,0.8670037093406191,234,234,1017,-783,0.6410167217254639,2.73938769968147,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,rbf,0.05,0.75,0.707936507936508,0.901010101010101,0.6677724744391411,0.8694628257202475,175,175,1041,-866,0.9606771469116211,5.489583696637835,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,rbf,0.1,0.75,0.6955177743431221,0.907258064516129,0.6590800036248127,0.8665385171924002,191,191,1020,-829,2.2432615756988525,11.744825003658914,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,rbf,0.1,0.75,0.6900763358778625,0.9112903225806451,0.6557055243112996,0.8657035347024586,208,208,1041,-833,1.2578177452087402,6.047200698118944,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,rbf,0.1,0.75,0.6951026856240127,0.8888888888888888,0.6514465874655448,0.859532744763964,201,201,1029,-828,0.5783126354217529,2.8771772906554873,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,rbf,0.1,0.75,0.714516129032258,0.8949494949494949,0.6712018805567193,0.8696904710393426,234,234,1017,-783,0.6785869598388672,2.899944272815672,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,rbf,0.1,0.75,0.7181528662420382,0.9111111111111111,0.6811790827714395,0.8775080706836276,175,175,1041,-866,0.5698013305664062,3.2560076032366068,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,linear,0.0,0.75,0.9523809523809523,1.0,0.9523809523809523,0.9972183534434395,154,154,140,14,0.14668679237365723,0.952511638789982,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,linear,0.0,0.75,0.925,0.925,0.863125,0.9577534477445993,174,174,135,39,0.12735962867736816,0.7319518889503916,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,linear,0.0,0.75,0.851063829787234,1.0,0.851063829787234,0.9902300518341965,159,159,135,24,0.14483165740966797,0.91089092710483,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,linear,0.0,0.75,0.975,0.975,0.953125,0.9860485113150704,0,0,143,-143,0.1298205852508545,,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,5,linear,0.0,0.75,0.9090909090909091,1.0,0.9090909090909091,0.9944289260117533,30,30,136,-106,0.15711545944213867,5.237181981404622,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,linear,0.01,0.75,0.9302325581395349,1.0,0.9302325581395349,0.9958246164193104,154,154,140,14,0.20949363708496094,1.3603482927594865,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,linear,0.01,0.75,0.925,0.925,0.863125,0.9577534477445993,174,174,135,39,0.18404054641723633,1.0577042897542317,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,linear,0.01,0.75,0.851063829787234,1.0,0.851063829787234,0.9902300518341965,159,159,135,24,0.14288878440856934,0.8986716000538952,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,linear,0.01,0.75,0.975,0.975,0.953125,0.9860485113150704,0,0,143,-143,0.12801241874694824,,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,5,linear,0.01,0.75,0.9090909090909091,1.0,0.9090909090909091,0.9944289260117533,30,30,136,-106,0.15328741073608398,5.109580357869467,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,linear,0.05,0.75,0.9523809523809523,1.0,0.9523809523809523,0.9972183534434395,154,154,140,14,0.15127158164978027,0.9822829977258458,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,linear,0.05,0.75,0.925,0.925,0.863125,0.9577534477445993,174,174,135,39,0.15757083892822266,0.9055795340702452,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,linear,0.05,0.75,0.851063829787234,1.0,0.851063829787234,0.9902300518341965,159,159,135,24,0.15002036094665527,0.9435242826833664,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,linear,0.05,0.75,0.975,0.975,0.953125,0.9860485113150704,0,0,143,-143,0.1270158290863037,,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,5,linear,0.05,0.75,0.9090909090909091,1.0,0.9090909090909091,0.9944289260117533,30,30,136,-106,0.1989421844482422,6.63140614827474,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,linear,0.1,0.75,0.9523809523809523,1.0,0.9523809523809523,0.9972183534434395,154,154,140,14,0.1403186321258545,0.9111599488691849,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,linear,0.1,0.75,0.925,0.925,0.863125,0.9577534477445993,174,174,135,39,0.12643790245056152,0.7266546117848363,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,linear,0.1,0.75,0.851063829787234,1.0,0.851063829787234,0.9902300518341965,159,159,135,24,0.15469098091125488,0.9728992510141816,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,linear,0.1,0.75,0.975,0.975,0.953125,0.9860485113150704,0,0,143,-143,0.12496137619018555,,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,5,linear,0.1,0.75,0.9090909090909091,1.0,0.9090909090909091,0.9944289260117533,30,30,136,-106,0.15819907188415527,5.273302396138509,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,rbf,0.0,0.75,0.8863636363636364,0.975,0.8667045454545454,0.9805398173115324,44,44,140,-96,0.17296338081359863,3.930985927581787,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,rbf,0.0,0.75,0.9743589743589743,0.95,0.9306410256410256,0.9733247716518424,141,141,135,6,0.18934059143066406,1.342841073976341,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,rbf,0.0,0.75,0.9024390243902439,0.925,0.8422560975609756,0.9564111156935715,19,19,135,-116,0.9052832126617432,47.64648487693385,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,4,rbf,0.0,0.75,0.975,0.975,0.953125,0.9860485113150704,0,0,143,-143,1.1353342533111572,,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,5,rbf,0.0,0.75,0.9302325581395349,1.0,0.9302325581395349,0.9958246164193104,156,156,136,20,1.135235071182251,7.277147892193916,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,1,rbf,0.01,0.75,0.8863636363636364,0.975,0.8667045454545454,0.9805398173115324,44,44,140,-96,0.42305707931518555,9.614933620799672,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,2,rbf,0.01,0.75,0.9743589743589743,0.95,0.9306410256410256,0.9733247716518424,141,141,135,6,0.1550452709197998,1.099611850495034,success,
Mfeat-fourier,mfeat-fourier,971,2000,76,9.0,Medium,Features > 30,3,3,rbf,0.01,0.75,0.9024390243902439,0.925,0.8422560975609756,0.9564111156935715,19,19,135,-116,0.17150187492370605,9.02641446966874,success,
