Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,KMeansSMOTE,Baseline,--,0.4005 ± 0.1264,0.4651 ± 0.1110,0.2015 ± 0.0918,0.6740 ± 0.0829
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,None,None,--,0.4964 ± 0.1649,0.4803 ± 0.1691,0.2666 ± 0.1522,0.6812 ± 0.1270
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,SMOTE,Baseline,--,0.3360 ± 0.0285,0.6015 ± 0.0851,0.2093 ± 0.0406,0.7669 ± 0.0517
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,DT,SVMSMOTE,Baseline,--,0.4594 ± 0.0774,0.5152 ± 0.1237,0.2497 ± 0.0830,0.7101 ± 0.0869
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,ADASYN,Baseline,--,0.5465 ± 0.1054,0.6197 ± 0.1295,0.6217 ± 0.0716,0.7807 ± 0.0790
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7471 ± 0.0642,0.5000 ± 0.0671,0.6681 ± 0.0650,0.7049 ± 0.0475
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7197 ± 0.1357,0.4470 ± 0.1598,0.6636 ± 0.1330,0.6591 ± 0.1188
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8295 ± 0.0286,0.4970 ± 0.1100,0.6940 ± 0.0832,0.7010 ± 0.0768
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8317 ± 0.1222,0.4818 ± 0.0907,0.6872 ± 0.0858,0.6910 ± 0.0663
Diabetes (DIS),40713,10 < Features <= 30,64.0345,Extreme,29,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.4733 ± 0.0948,0.6727 ± 0.1224,0.6099 ± 0.0905,0.8124 ± 0.0753
