Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,1,CTGAN,Deep Tabular,--,RF,0.8462,0.7333,0.8533,0.8555,3960,10.5248,2.6578,2.6578,2.0163,0.0243,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,1,CTGAN,Deep Tabular,--,LightGBM,0.9231,0.8,0.8536,0.894,3960,10.5248,2.6578,2.6578,0.5526,0.0162,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,1,TVAE,Deep Tabular,--,DT,0.4737,0.6,0.2901,0.7707,3960,6.4025,1.6168,1.6168,0.2156,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,1,TVAE,Deep Tabular,--,RF,0.6667,0.6667,0.7721,0.8145,3960,6.4025,1.6168,1.6168,2.7975,0.0244,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,1,TVAE,Deep Tabular,--,LightGBM,0.8462,0.7333,0.8146,0.8555,3960,6.4025,1.6168,1.6168,0.5442,0.014,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,2,CTGAN,Deep Tabular,--,DT,0.5714,0.5333,0.3116,0.7281,3960,10.7307,2.7098,2.7098,0.2148,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,2,CTGAN,Deep Tabular,--,RF,0.8889,0.5333,0.7595,0.7299,3960,10.7307,2.7098,2.7098,2.061,0.031,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,2,CTGAN,Deep Tabular,--,LightGBM,0.8889,0.5333,0.7659,0.7299,3960,10.7307,2.7098,2.7098,0.59,0.0182,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,2,TVAE,Deep Tabular,--,DT,0.5294,0.6,0.3235,0.7715,3960,4.6684,1.1789,1.1789,0.1433,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,2,TVAE,Deep Tabular,--,RF,0.8,0.5333,0.7176,0.7296,3960,4.6684,1.1789,1.1789,2.6118,0.0366,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,2,TVAE,Deep Tabular,--,LightGBM,0.8182,0.6,0.7619,0.7738,3960,4.6684,1.1789,1.1789,0.7775,0.0209,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,3,CTGAN,Deep Tabular,--,DT,0.5217,0.8,0.4203,0.8895,3960,9.9322,2.5081,2.5081,0.2042,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,3,CTGAN,Deep Tabular,--,RF,0.8,0.8,0.921,0.8931,3960,9.9322,2.5081,2.5081,1.9639,0.0248,success,success,42
