Dataset,OpenML_ID,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean,Generated_Samples,Resample_Time_s
Mfeat-karhunen,1020,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9947 ± 0.0118,0.9450 ± 0.0411,0.9919 ± 0.0052,0.9717 ± 0.0212,135.2000 ± 30.9386,0.0611 ± 0.0163
Mfeat-karhunen,1020,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,1.0000 ± 0.0000,0.8000 ± 0.0530,0.9937 ± 0.0085,0.8940 ± 0.0298,135.2000 ± 30.9386,0.0611 ± 0.0163
Mfeat-karhunen,1020,DT,BSSMOTE w/o SVM,w/o SVM,--,0.7447 ± 0.0052,0.8600 ± 0.0518,0.6544 ± 0.0329,0.9117 ± 0.0264,1204.8000 ± 4.9699,0.2373 ± 0.2687
Mfeat-karhunen,1020,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.9788 ± 0.0343,0.9400 ± 0.0518,0.9861 ± 0.0087,0.9682 ± 0.0283,1204.8000 ± 4.9699,0.2373 ± 0.2687
Mfeat-karhunen,1020,RF,BSSMOTE w/o SVM,w/o SVM,--,1.0000 ± 0.0000,0.8400 ± 0.1207,0.9911 ± 0.0052,0.9145 ± 0.0677,1204.8000 ± 4.9699,0.2373 ± 0.2687
Mfeat-karhunen,1020,DT,CTGAN,Deep Tabular,--,0.7498 ± 0.0564,0.8400 ± 0.0840,0.6487 ± 0.0936,0.9012 ± 0.0480,1280.0000 ± 0.0000,19.8632 ± 0.8106
Mfeat-karhunen,1020,LightGBM,CTGAN,Deep Tabular,--,0.9786 ± 0.0218,0.9200 ± 0.0737,0.9802 ± 0.0169,0.9575 ± 0.0394,1280.0000 ± 0.0000,19.8632 ± 0.8106
Mfeat-karhunen,1020,RF,CTGAN,Deep Tabular,--,0.9892 ± 0.0148,0.8700 ± 0.0818,0.9848 ± 0.0083,0.9314 ± 0.0451,1280.0000 ± 0.0000,19.8632 ± 0.8106
Mfeat-karhunen,1020,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.8152 ± 0.0924,0.8100 ± 0.0762,0.6755 ± 0.0545,0.8890 ± 0.0371,73.8000 ± 65.0899,0.1832 ± 0.1556
Mfeat-karhunen,1020,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9950 ± 0.0112,0.9200 ± 0.0694,0.9890 ± 0.0073,0.9583 ± 0.0360,73.8000 ± 65.0899,0.1832 ± 0.1556
Mfeat-karhunen,1020,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9943 ± 0.0128,0.8050 ± 0.0737,0.9884 ± 0.0085,0.8962 ± 0.0422,73.8000 ± 65.0899,0.1832 ± 0.1556
Mfeat-karhunen,1020,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7840 ± 0.0902,0.8650 ± 0.0487,0.6950 ± 0.1083,0.9171 ± 0.0319,117.4000 ± 32.7002,0.2245 ± 0.1680
Mfeat-karhunen,1020,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9949 ± 0.0114,0.9400 ± 0.0576,0.9919 ± 0.0068,0.9689 ± 0.0299,117.4000 ± 32.7002,0.2245 ± 0.1680
Mfeat-karhunen,1020,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,1.0000 ± 0.0000,0.8300 ± 0.0542,0.9947 ± 0.0054,0.9106 ± 0.0296,117.4000 ± 32.7002,0.2245 ± 0.1680
Mfeat-karhunen,1020,DT,TVAE,Deep Tabular,--,0.8538 ± 0.0368,0.8350 ± 0.0627,0.7291 ± 0.0526,0.9058 ± 0.0329,1280.0000 ± 0.0000,13.9718 ± 0.3901
Mfeat-karhunen,1020,LightGBM,TVAE,Deep Tabular,--,0.9895 ± 0.0144,0.9350 ± 0.0418,0.9903 ± 0.0097,0.9662 ± 0.0216,1280.0000 ± 0.0000,13.9718 ± 0.3901
Mfeat-karhunen,1020,RF,TVAE,Deep Tabular,--,0.9875 ± 0.0172,0.8450 ± 0.0925,0.9899 ± 0.0074,0.9176 ± 0.0517,1280.0000 ± 0.0000,13.9718 ± 0.3901
Optdigits,980,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7889 ± 0.0525,0.8847 ± 0.0222,0.7105 ± 0.0603,0.9277 ± 0.0148,35.2000 ± 13.2552,0.8449 ± 0.1095
Optdigits,980,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9664 ± 0.0095,0.9546 ± 0.0169,0.9922 ± 0.0038,0.9751 ± 0.0088,35.2000 ± 13.2552,0.8449 ± 0.1095
Optdigits,980,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9866 ± 0.0087,0.9108 ± 0.0311,0.9905 ± 0.0034,0.9536 ± 0.0166,35.2000 ± 13.2552,0.8449 ± 0.1095
Optdigits,980,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7943 ± 0.0241,0.8881 ± 0.0297,0.7170 ± 0.0340,0.9299 ± 0.0158,8.4000 ± 2.9665,0.8619 ± 0.1351
Optdigits,980,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9662 ± 0.0078,0.9510 ± 0.0261,0.9920 ± 0.0054,0.9733 ± 0.0137,8.4000 ± 2.9665,0.8619 ± 0.1351
Optdigits,980,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9847 ± 0.0110,0.9074 ± 0.0251,0.9903 ± 0.0051,0.9517 ± 0.0136,8.4000 ± 2.9665,0.8619 ± 0.1351
Optdigits,980,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8645 ± 0.0388,0.8759 ± 0.0301,0.7691 ± 0.0233,0.9283 ± 0.0139,153.4000 ± 45.4786,0.1230 ± 0.0402
Optdigits,980,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9926 ± 0.0077,0.9423 ± 0.0171,0.9951 ± 0.0022,0.9703 ± 0.0091,153.4000 ± 45.4786,0.1230 ± 0.0402
Optdigits,980,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9921 ± 0.0083,0.8882 ± 0.0271,0.9927 ± 0.0031,0.9420 ± 0.0146,153.4000 ± 45.4786,0.1230 ± 0.0402
Optdigits,980,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8574 ± 0.0266,0.8549 ± 0.0306,0.7475 ± 0.0233,0.9169 ± 0.0155,410.2000 ± 51.1048,0.3112 ± 0.0859
Optdigits,980,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9907 ± 0.0066,0.9441 ± 0.0259,0.9943 ± 0.0013,0.9711 ± 0.0136,410.2000 ± 51.1048,0.3112 ± 0.0859
Optdigits,980,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,1.0000 ± 0.0000,0.8916 ± 0.0300,0.9936 ± 0.0043,0.9442 ± 0.0158,410.2000 ± 51.1048,0.3112 ± 0.0859
Optdigits,980,DT,BSSMOTE w/o SVM,w/o SVM,--,0.7665 ± 0.0262,0.8846 ± 0.0314,0.6895 ± 0.0244,0.9258 ± 0.0151,3000.6000 ± 6.0663,0.8618 ± 0.1873
Optdigits,980,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.9701 ± 0.0160,0.9615 ± 0.0147,0.9932 ± 0.0030,0.9789 ± 0.0082,3000.6000 ± 6.0663,0.8618 ± 0.1873
Optdigits,980,RF,BSSMOTE w/o SVM,w/o SVM,--,0.9849 ± 0.0053,0.9126 ± 0.0372,0.9917 ± 0.0026,0.9544 ± 0.0196,3000.6000 ± 6.0663,0.8618 ± 0.1873
Optdigits,980,DT,CTGAN,Deep Tabular,--,0.8584 ± 0.0280,0.8969 ± 0.0415,0.7806 ± 0.0435,0.9388 ± 0.0219,3580.8000 ± 1.0954,20.2542 ± 0.4814
Optdigits,980,LightGBM,CTGAN,Deep Tabular,--,0.9891 ± 0.0075,0.9493 ± 0.0242,0.9943 ± 0.0023,0.9737 ± 0.0124,3580.8000 ± 1.0954,20.2542 ± 0.4814
Optdigits,980,RF,CTGAN,Deep Tabular,--,0.9923 ± 0.0043,0.8987 ± 0.0466,0.9889 ± 0.0046,0.9474 ± 0.0246,3580.8000 ± 1.0954,20.2542 ± 0.4814
Optdigits,980,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7864 ± 0.0581,0.8934 ± 0.0291,0.7145 ± 0.0681,0.9318 ± 0.0188,24.4000 ± 18.2702,0.8190 ± 0.0991
Optdigits,980,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9596 ± 0.0102,0.9563 ± 0.0164,0.9911 ± 0.0049,0.9756 ± 0.0087,24.4000 ± 18.2702,0.8190 ± 0.0991
Optdigits,980,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9884 ± 0.0081,0.9039 ± 0.0355,0.9906 ± 0.0035,0.9500 ± 0.0188,24.4000 ± 18.2702,0.8190 ± 0.0991
Optdigits,980,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7951 ± 0.0178,0.8742 ± 0.0417,0.7080 ± 0.0360,0.9228 ± 0.0217,357.6000 ± 68.9260,1.2400 ± 0.5086
Optdigits,980,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9752 ± 0.0145,0.9580 ± 0.0169,0.9921 ± 0.0033,0.9774 ± 0.0089,357.6000 ± 68.9260,1.2400 ± 0.5086
Optdigits,980,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9807 ± 0.0154,0.9004 ± 0.0383,0.9886 ± 0.0044,0.9478 ± 0.0206,357.6000 ± 68.9260,1.2400 ± 0.5086
