Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Majority_Count,Minority_Count,Fold,Oversampler,Variant,SVM,Model,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Generated_ms,Time_per_Instance_ms,Model_Fit_Time_s,Prediction_Time_s,Sampler_Status,Model_Status,Seed
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,2,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.3529,0.8,0.6919,0.8846,3103,3103.0,855.0,2248.0,0.806,0.2597,0.2597,0.8146,0.0174,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.3333,0.9333,0.3121,0.9525,15,15.0,856.0,-841.0,0.6938,46.2559,46.2559,0.0616,0.0013,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.3846,1.0,0.9229,0.988,15,15.0,856.0,-841.0,0.6938,46.2559,46.2559,0.6519,0.0225,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.3947,1.0,0.8946,0.9885,15,15.0,856.0,-841.0,0.6938,46.2559,46.2559,0.155,0.0166,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.28,0.9333,0.2623,0.9486,412,412.0,856.0,-444.0,0.7606,1.8462,1.8462,0.0826,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,RF,0.4516,0.9333,0.8649,0.9579,412,412.0,856.0,-444.0,0.7606,1.8462,1.8462,0.8137,0.0245,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.3488,1.0,0.8223,0.986,412,412.0,856.0,-444.0,0.7606,1.8462,1.8462,0.5038,0.0211,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.5,0.8667,0.4353,0.9249,36,36.0,0.0,36.0,0.0902,2.5051,2.5051,0.0866,0.0013,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,0.8462,0.7333,0.9532,0.8555,36,36.0,0.0,36.0,0.0902,2.5051,2.5051,1.1853,0.0436,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.9231,0.8,0.9399,0.894,36,36.0,0.0,36.0,0.0902,2.5051,2.5051,0.3078,0.0245,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.5556,0.6667,0.3753,0.8132,513,513.0,0.0,513.0,0.1934,0.377,0.377,0.1143,0.0014,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,0.8571,0.8,0.9477,0.8935,513,513.0,0.0,513.0,0.1934,0.377,0.377,1.4095,0.042,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.8,0.8,0.9402,0.8931,513,513.0,0.0,513.0,0.1934,0.377,0.377,0.6876,0.0194,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,DT,0.2727,1.0,0.2727,0.9799,1,1.0,856.0,-855.0,0.9286,928.5629,928.5629,0.06,0.0012,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,RF,0.3846,1.0,0.9158,0.988,1,1.0,856.0,-855.0,0.9286,928.5629,928.5629,0.6339,0.0221,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,LightGBM,0.4516,0.9333,0.9386,0.9579,1,1.0,856.0,-855.0,0.9286,928.5629,928.5629,0.1515,0.017,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,DT,0.3,1.0,0.3,0.9824,2,2.0,856.0,-854.0,0.7765,388.2669,388.2669,0.0501,0.0009,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,RF,0.3947,1.0,0.9154,0.9885,2,2.0,856.0,-854.0,0.7765,388.2669,388.2669,0.6048,0.0224,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,LightGBM,0.4286,1.0,0.8066,0.99,2,2.0,856.0,-854.0,0.7765,388.2669,388.2669,0.1495,0.0172,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o SVM,w/o SVM,--,DT,0.2642,0.9333,0.2475,0.9472,3104,3104.0,852.0,2252.0,0.8236,0.2653,0.2653,0.2759,0.001,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o SVM,w/o SVM,--,RF,0.56,0.9333,0.9071,0.9608,3104,3104.0,852.0,2252.0,0.8236,0.2653,0.2653,2.3228,0.0293,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,3,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.3889,0.9333,0.8066,0.9555,3104,3104.0,852.0,2252.0,0.8236,0.2653,0.2653,0.5476,0.0128,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.3846,0.6667,0.2613,0.81,1,1.0,850.0,-849.0,1.0334,1033.3514,1033.3514,0.0554,0.0012,success,success,42
Satellite,Satellite,40900,5100,36,67.0,Extreme,Features > 30,3,5025.0,75.0,4,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.5714,0.8,0.7353,0.8904,1,1.0,850.0,-849.0,1.0334,1033.3514,1033.3514,0.6046,0.0226,success,success,42
