Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Oversampler,Variant,SVM,Model,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_PR_mean,AUC_PR_std,GMean_mean,GMean_std,Generated_Samples_mean,Generated_Samples_std,Resample_Time_mean,Resample_Time_std,Time_per_Generated_ms_mean,Time_per_Generated_ms_std,Model_Fit_Time_mean,Model_Fit_Time_std
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,DT,0.7959,0.0667,0.825,0.0637,0.6756,0.0853,0.8969,0.0359,103.0,56.4624,0.0196,0.0061,1.6937,3.4297,0.1739,0.0335
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,LightGBM,0.9893,0.0146,0.9,0.081,0.9899,0.0062,0.9474,0.0431,103.0,56.4624,0.0196,0.0061,1.6937,3.4297,0.7066,0.1636
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,RF,1.0,0.0,0.775,0.0707,0.9896,0.0061,0.8795,0.0414,103.0,56.4624,0.0196,0.0061,1.6937,3.4297,1.2299,0.2026
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,DT,0.7843,0.0155,0.815,0.0627,0.6573,0.0396,0.8909,0.0332,135.2,30.9386,0.0611,0.0163,0.4801,0.2086,0.155,0.0608
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,LightGBM,0.9947,0.0118,0.945,0.0411,0.9919,0.0052,0.9717,0.0212,135.2,30.9386,0.0611,0.0163,0.4801,0.2086,0.6983,0.1621
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,RF,1.0,0.0,0.8,0.053,0.9937,0.0085,0.894,0.0298,135.2,30.9386,0.0611,0.0163,0.4801,0.2086,1.3453,0.2175
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o SVM,w/o SVM,--,DT,0.7447,0.0052,0.86,0.0518,0.6544,0.0329,0.9117,0.0264,1204.8,4.9699,0.2373,0.2687,0.1969,0.2232,0.2628,0.0396
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o SVM,w/o SVM,--,LightGBM,0.9788,0.0343,0.94,0.0518,0.9861,0.0087,0.9682,0.0283,1204.8,4.9699,0.2373,0.2687,0.1969,0.2232,0.8185,0.1758
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,BSSMOTE w/o SVM,w/o SVM,--,RF,1.0,0.0,0.84,0.1207,0.9911,0.0052,0.9145,0.0677,1204.8,4.9699,0.2373,0.2687,0.1969,0.2232,2.4459,0.1249
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,DT,0.7498,0.0564,0.84,0.084,0.6487,0.0936,0.9012,0.048,1280.0,0.0,19.8632,0.8106,15.5181,0.6333,0.3454,0.0928
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,LightGBM,0.9786,0.0218,0.92,0.0737,0.9802,0.0169,0.9575,0.0394,1280.0,0.0,19.8632,0.8106,15.5181,0.6333,0.8103,0.1197
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,CTGAN,Deep Tabular,--,RF,0.9892,0.0148,0.87,0.0818,0.9848,0.0083,0.9314,0.0451,1280.0,0.0,19.8632,0.8106,15.5181,0.6333,2.6292,0.5017
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,DT,0.8152,0.0924,0.81,0.0762,0.6755,0.0545,0.889,0.0371,73.8,65.0899,0.1832,0.1556,53.8966,100.0313,0.1534,0.0165
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,LightGBM,0.995,0.0112,0.92,0.0694,0.989,0.0073,0.9583,0.036,73.8,65.0899,0.1832,0.1556,53.8966,100.0313,0.6874,0.122
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,Full BSSMOTE Linear,Full BSSMOTE,Linear,RF,0.9943,0.0128,0.805,0.0737,0.9884,0.0085,0.8962,0.0422,73.8,65.0899,0.1832,0.1556,53.8966,100.0313,1.1071,0.066
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,DT,0.784,0.0902,0.865,0.0487,0.695,0.1083,0.9171,0.0319,117.4,32.7002,0.2245,0.168,1.8115,0.8286,0.1462,0.0376
Mfeat-karhunen,mfeat-karhunen,1020,2000,64,9.0,Medium,Features > 30,3,Full BSSMOTE RBF,Full BSSMOTE,RBF,LightGBM,0.9949,0.0114,0.94,0.0576,0.9919,0.0068,0.9689,0.0299,117.4,32.7002,0.2245,0.168,1.8115,0.8286,0.6868,0.1027
